station,date,year,month_abbr,day_in_month,doy,daily_rainfall_choma
'CHOMA001',01/01/1952,1952,Jan,1,1,23.9
'CHOMA001',02/01/1952,1952,Jan,2,2,1.3
'CHOMA001',03/01/1952,1952,Jan,3,3,11.4
'CHOMA001',04/01/1952,1952,Jan,4,4,9.4
'CHOMA001',05/01/1952,1952,Jan,5,5,45
'CHOMA001',06/01/1952,1952,Jan,6,6,19.8
'CHOMA001',07/01/1952,1952,Jan,7,7,10.7
'CHOMA001',08/01/1952,1952,Jan,8,8,12.2
'CHOMA001',09/01/1952,1952,Jan,9,9,23.4
'CHOMA001',10/01/1952,1952,Jan,10,10,1.8
'CHOMA001',11/01/1952,1952,Jan,11,11,3.3
'CHOMA001',12/01/1952,1952,Jan,12,12,0
'CHOMA001',13/01/1952,1952,Jan,13,13,4.8
'CHOMA001',14/01/1952,1952,Jan,14,14,0
'CHOMA001',15/01/1952,1952,Jan,15,15,0
'CHOMA001',16/01/1952,1952,Jan,16,16,0
'CHOMA001',17/01/1952,1952,Jan,17,17,15.2
'CHOMA001',18/01/1952,1952,Jan,18,18,27.2
'CHOMA001',19/01/1952,1952,Jan,19,19,4.6
'CHOMA001',20/01/1952,1952,Jan,20,20,0
'CHOMA001',21/01/1952,1952,Jan,21,21,7.6
'CHOMA001',22/01/1952,1952,Jan,22,22,6.3
'CHOMA001',23/01/1952,1952,Jan,23,23,5.6
'CHOMA001',24/01/1952,1952,Jan,24,24,0.8
'CHOMA001',25/01/1952,1952,Jan,25,25,0.5
'CHOMA001',26/01/1952,1952,Jan,26,26,0
'CHOMA001',27/01/1952,1952,Jan,27,27,0
'CHOMA001',28/01/1952,1952,Jan,28,28,1.5
'CHOMA001',29/01/1952,1952,Jan,29,29,1
'CHOMA001',30/01/1952,1952,Jan,30,30,17
'CHOMA001',31/01/1952,1952,Jan,31,31,4.6
'CHOMA001',01/02/1952,1952,Feb,1,32,3.8
'CHOMA001',02/02/1952,1952,Feb,2,33,1.5
'CHOMA001',03/02/1952,1952,Feb,3,34,13
'CHOMA001',04/02/1952,1952,Feb,4,35,0.5
'CHOMA001',05/02/1952,1952,Feb,5,36,12.7
'CHOMA001',06/02/1952,1952,Feb,6,37,1.5
'CHOMA001',07/02/1952,1952,Feb,7,38,2.5
'CHOMA001',08/02/1952,1952,Feb,8,39,0
'CHOMA001',09/02/1952,1952,Feb,9,40,5.1
'CHOMA001',10/02/1952,1952,Feb,10,41,16
'CHOMA001',11/02/1952,1952,Feb,11,42,3
'CHOMA001',12/02/1952,1952,Feb,12,43,23.6
'CHOMA001',13/02/1952,1952,Feb,13,44,0
'CHOMA001',14/02/1952,1952,Feb,14,45,2
'CHOMA001',15/02/1952,1952,Feb,15,46,3
'CHOMA001',16/02/1952,1952,Feb,16,47,0.5
'CHOMA001',17/02/1952,1952,Feb,17,48,5.8
'CHOMA001',18/02/1952,1952,Feb,18,49,0
'CHOMA001',19/02/1952,1952,Feb,19,50,0
'CHOMA001',20/02/1952,1952,Feb,20,51,0
'CHOMA001',21/02/1952,1952,Feb,21,52,1.8
'CHOMA001',22/02/1952,1952,Feb,22,53,0
'CHOMA001',23/02/1952,1952,Feb,23,54,0
'CHOMA001',24/02/1952,1952,Feb,24,55,20.8
