station,date,year,month_abbr,day_in_month,doy,daily_rainfall_LS
'LIVING01',1947-01-01,1947,Jan,1,1,5.8
'LIVING01',1947-01-02,1947,Jan,2,2,0
'LIVING01',1947-01-03,1947,Jan,3,3,12.7
'LIVING01',1947-01-04,1947,Jan,4,4,2.5
'LIVING01',1947-01-05,1947,Jan,5,5,1.5
'LIVING01',1947-01-06,1947,Jan,6,6,7.4
'LIVING01',1947-01-07,1947,Jan,7,7,0
'LIVING01',1947-01-08,1947,Jan,8,8,17.3
'LIVING01',1947-01-09,1947,Jan,9,9,10.2
'LIVING01',1947-01-10,1947,Jan,10,10,0
'LIVING01',1947-01-11,1947,Jan,11,11,0
'LIVING01',1947-01-12,1947,Jan,12,12,0
'LIVING01',1947-01-13,1947,Jan,13,13,7.9
'LIVING01',1947-01-14,1947,Jan,14,14,0
'LIVING01',1947-01-15,1947,Jan,15,15,2.3
'LIVING01',1947-01-16,1947,Jan,16,16,68.6
'LIVING01',1947-01-17,1947,Jan,17,17,7.1
'LIVING01',1947-01-18,1947,Jan,18,18,2.3
'LIVING01',1947-01-19,1947,Jan,19,19,4.8
'LIVING01',1947-01-20,1947,Jan,20,20,7.4
'LIVING01',1947-01-21,1947,Jan,21,21,0.5
'LIVING01',1947-01-22,1947,Jan,22,22,0.3
'LIVING01',1947-01-23,1947,Jan,23,23,1.5
'LIVING01',1947-01-24,1947,Jan,24,24,0
'LIVING01',1947-01-25,1947,Jan,25,25,3.8
'LIVING01',1947-01-26,1947,Jan,26,26,0
'LIVING01',1947-01-27,1947,Jan,27,27,0
'LIVING01',1947-01-28,1947,Jan,28,28,0
'LIVING01',1947-01-29,1947,Jan,29,29,6.3
'LIVING01',1947-01-30,1947,Jan,30,30,0
'LIVING01',1947-01-31,1947,Jan,31,31,0
'LIVING01',1947-03-01,1947,Mar,1,61,68.3
'LIVING01',1947-03-02,1947,Mar,2,62,2
'LIVING01',1947-03-03,1947,Mar,3,63,6.6
'LIVING01',1947-03-04,1947,Mar,4,64,5.1
'LIVING01',1947-03-05,1947,Mar,5,65,5.1
'LIVING01',1947-03-06,1947,Mar,6,66,0
'LIVING01',1947-03-07,1947,Mar,7,67,0
'LIVING01',1947-03-08,1947,Mar,8,68,5.1
'LIVING01',1947-03-09,1947,Mar,9,69,13.2
'LIVING01',1947-03-10,1947,Mar,10,70,0.8
'LIVING01',1947-03-11,1947,Mar,11,71,0
'LIVING01',1947-03-12,1947,Mar,12,72,22.4
'LIVING01',1947-03-13,1947,Mar,13,73,0
'LIVING01',1947-03-14,1947,Mar,14,74,0
'LIVING01',1947-03-15,1947,Mar,15,75,9.4
'LIVING01',1947-03-16,1947,Mar,16,76,0
'LIVING01',1947-03-17,1947,Mar,17,77,0
'LIVING01',1947-03-18,1947,Mar,18,78,0.3
'LIVING01',1947-03-19,1947,Mar,19,79,6.9
'LIVING01',1947-03-20,1947,Mar,20,80,3.8
'LIVING01',1947-03-21,1947,Mar,21,81,0
'LIVING01',1947-03-22,1947,Mar,22,82,9.7
'LIVING01',1947-03-23,1947,Mar,23,83,0
'LIVING01',1947-03-24,1947,Mar,24,84,0
'LIVING01',1947-03-25,1947,Mar,25,85,5.8
'LIVING01',1947-03-26,1947,Mar,26,86,0
'LIVING01',1947-03-27,1947,Mar,27,87,0
'LIVING01',1947-03-28,1947,Mar,28,88,0
'LIVING01',1947-03-29,1947,Mar,29,89,6.1
'LIVING01',1947-03-30,1947,Mar,30,90,0
'LIVING01',1947-03-31,1947,Mar,31,91,0
'LIVING01',1947-04-01,1947,Apr,1,92,2.8
'LIVING01',1947-04-02,1947,Apr,2,93,1.8
'LIVING01',1947-04-03,1947,Apr,3,94,0
'LIVING01',1947-04-04,1947,Apr,4,95,15.2
'LIVING01',1947-04-05,1947,Apr,5,96,0
'LIVING01',1947-04-06,1947,Apr,6,97,0
'LIVING01',1947-04-07,1947,Apr,7,98,0
'LIVING01',1947-04-08,1947,Apr,8,99,0
'LIVING01',1947-04-09,1947,Apr,9,100,0
'LIVING01',1947-04-10,1947,Apr,10,101,0
'LIVING01',1947-04-11,1947,Apr,11,102,0
'LIVING01',1947-04-12,1947,Apr,12,103,0
'LIVING01',1947-04-13,1947,Apr,13,104,0
'LIVING01',1947-04-14,1947,Apr,14,105,0
'LIVING01',1947-04-15,1947,Apr,15,106,0
'LIVING01',1947-04-16,1947,Apr,16,107,0
'LIVING01',1947-04-17,1947,Apr,17,108,0
'LIVING01',1947-04-18,1947,Apr,18,109,0
'LIVING01',1947-04-19,1947,Apr,19,110,0
'LIVING01',1947-04-20,1947,Apr,20,111,0
'LIVING01',1947-04-21,1947,Apr,21,112,0
'LIVING01',1947-04-22,1947,Apr,22,113,0
'LIVING01',1947-04-23,1947,Apr,23,114,0
'LIVING01',1947-04-24,1947,Apr,24,115,0
'LIVING01',1947-04-25,1947,Apr,25,116,0
'LIVING01',1947-04-26,1947,Apr,26,117,0
'LIVING01',1947-04-27,1947,Apr,27,118,0
'LIVING01',1947-04-28,1947,Apr,28,119,0
'LIVING01',1947-04-29,1947,Apr,29,120,0
'LIVING01',1947-04-30,1947,Apr,30,121,0
'LIVING01',1947-05-01,1947,May,1,122,0
'LIVING01',1947-05-02,1947,May,2,123,0
'LIVING01',1947-05-03,1947,May,3,124,0
'LIVING01',1947-05-04,1947,May,4,125,0
'LIVING01',1947-05-05,1947,May,5,126,0
'LIVING01',1947-05-06,1947,May,6,127,0
'LIVING01',1947-05-07,1947,May,7,128,0
'LIVING01',1947-05-08,1947,May,8,129,0
'LIVING01',1947-05-09,1947,May,9,130,0
'LIVING01',1947-05-10,1947,May,10,131,0
'LIVING01',1947-05-11,1947,May,11,132,0
'LIVING01',1947-05-12,1947,May,12,133,0
'LIVING01',1947-05-13,1947,May,13,134,0
'LIVING01',1947-05-14,1947,May,14,135,0
'LIVING01',1947-05-15,1947,May,15,136,0
'LIVING01',1947-05-16,1947,May,16,137,0
'LIVING01',1947-05-17,1947,May,17,138,0
'LIVING01',1947-05-18,1947,May,18,139,0
'LIVING01',1947-05-19,1947,May,19,140,0
'LIVING01',1947-05-20,1947,May,20,141,0
'LIVING01',1947-05-21,1947,May,21,142,0
'LIVING01',1947-05-22,1947,May,22,143,0
'LIVING01',1947-05-23,1947,May,23,144,0
'LIVING01',1947-05-24,1947,May,24,145,0
'LIVING01',1947-05-25,1947,May,25,146,0
